Property_Title,Address,Reviewed_Status,Most_Recent_Status,Source,Market,Occupancy,Flood,Street_Address,City,State,Zip,Property_Type,Highway,Train,Tax_Rate,SQFT_Basement,HTW,Pool,Commercial,Water,Sewage,Year_Built,SQFT_MU,SQFT_Total,Parking,Bed,Bath,BasementYesNo,Layout,Net_Yield,IRR,Rent_Restricted,Neighborhood_Rating,Previous_Rent,List_Price,Zestimate,ARV,Expected_Rent,Rent_Zestimate,Low_FMR,High_FMR,HOA,Underwriting_Rehab,Rehab_Calculation,Paint,Flooring_Flag,Foundation_Flag,Roof_Flag,HVAC_Flag,Kitchen_Flag,Bathroom_Flag,Appliances_Flag,Windows_Flag,Landscaping_Flag,Trashout_Flag,Latitude,Longitude,Subdivision,Taxes,Redfin_Value,Selling_Reason,Seller_Retained_Broker,HOA_Flag,Final_Reviewer,School_Average
"34447 Jason Isle Suite 441 Lake Jeffrey, AK 51563","34447 Jason Isle Suite 441 Lake Jeffrey, AK 51563", ,Available,M L S,Atlanta,No,,34447 Jason Isle Suite 441,Lake Jeffrey,AK,51563,Condo,,,2.41,1391,Yes,No,No,Well,City,2017,1322,8349,Street,2,1,No,Ranch,6.04,11.04,Yes,4,3055,495127,375073,274015,1099,1621,1958,1998,305,81910,62652,,,Yes,,No,Yes,,No,No,Yes,No,37.986017,-89.341431,Squares,4242,378408,Investor Sale,No,Yes,Jason Miller,7.87
"05076 Baxter Club Apt. 330 South Hannah, MH 57886","05076 Baxter Club Apt. 330 South Hannah, MH 57886",Cancelled,Cancelled,MLS,Atlanta,,Minimal Flood,05076 Baxter Club Apt. 330,South Hannah,MH,57886,Townhouse,Far,,3.49,904,No,,Yes,Well,,1981,545,4461,Street,3,2,,Split,7.85,16.83,No,3,2837,131105,298500,547075,2606,2130,936,1863,83,2737,14464,,,No,No,,Yes,,No,,No,No,41.510355,-97.506155,Tunnel,3405,317648,Investor Sale,Yes,No,Amit Kumar,7.14
"99533 Amber View Lake Kevinmouth, DC 58524","99533 Amber View Lake Kevinmouth, DC 58524",Closed,Null,Opendoor,Chicago,,,99533 Amber View,Lake Kevinmouth,DC,58524,SFR,Near,Near,1.07,1031,Yes,,,City,Septic,2006,1568,2146,,4,1,,,3.4,6.32,No,1,3040,484594,341946,154702,2693,2967,1361,3020,405,19024,64538,No,Yes,Yes,Yes,,Yes,Yes,Yes,No,No,No,36.465268,-87.97948,Manor,1770,315738,Job Transfer,,No,David Thompson,4.18
"24820 James Extension Apt. 099 North Maryfurt, MN 60642","24820 James Extension Apt. 099 North Maryfurt, MN 60642",New,Cancelled,Internal,Florida,Yes,,24820 James Extension Apt. 099,North Maryfurt,MN,60642,Townhouse,,,1.26,946,,Yes,No,City,City,1969,2342,5353,Driveway,5,2,No,,8.78,14.75,No,3,2999,409461,499711,468141,1596,3928,1747,2279,85,68033,65806,No,No,,Yes,No,No,Yes,,Yes,No,Yes,41.526936,-117.21445,Circles,3465,517557,Downsizing,Yes,No,David Thompson,5.97
"55410 Ferguson Curve North Brittanyfurt, AS 31316","55410 Ferguson Curve North Brittanyfurt, AS 31316",New,Pending,Broker, ,Yes,Flood Zone,55410 Ferguson Curve,North Brittanyfurt,AS,31316,Duplex,Far,Far,2.13,1180,,No,Yes,City,City,1950,2046,6950,Driveway,2,4,No,Split,6.27,17.35,,1,848,163476,192957,273713,2292,1249,1076,2479,433,35933,53343,Yes,Yes,,,,No,No,No,Yes,,,34.320561,-92.038098,Run,5682,153346,Investor Sale,No,,Priya Sharma,7.7
"13076 Escobar Light Suite 510 Lake Jamesfurt, RI 12485","13076 Escobar Light Suite 510 Lake Jamesfurt, RI 12485",Accepted Offer,Pend,M L S,Dalas,No,Minimal Flood,13076 Escobar Light Suite 510,Lake Jamesfurt,RI,12485,Condo,Far,,3.24,192,Yes,Yes,Yes,City,,2011,2775,8242,Street,3,1,,,9.32,19.29,,3,828,453947,473581,472348,2885,1632,1245,2324,311,24967,55075,No,Yes,No,No,Yes,,No,No,Yes,,Yes,33.651989,-104.321451,Dam,8869,456114,Job Transfer,Yes,,Emily Patel,4.43
"673 Cook Ports Suite 104 New Davidstad, PR 37166","673 Cook Ports Suite 104 New Davidstad, PR 37166",Closed,Kick,Broker,Dallas,Yes,Flood Zone,673 Cook Ports Suite 104,New Davidstad,PR,37166,Single Family Home,,,1.83,1366,,No,No,Well,Septic,1970,1866,5215,Street,1,1,Yes,Colonial,3.41,14.15,Yes,5,2164,439143,530280,221731,3234,2539,1341,2434,67,24925,89684,No,,,No,No,No,,No,No,,No,40.519246,-111.818736,Haven,5302,205499,Investor Sale,No,Yes,Michael Chen,5.1
"417 Nicholas Point East Katherine, OH 67767","417 Nicholas Point East Katherine, OH 67767",Cancelled,Pending,Bulk, ,No,Minimal Flood,417 Nicholas Point,East Katherine,OH,67767,Townhouse,Far,Near,1.47,1933,,No,Yes,Well,Septic,1989,2228,7303,Driveway,3,3,,Split,8.43,7.1,Yes,4,835,233285,416009,486945,1383,1463,1160,3421,342,70896,84343,No,No,Yes,,Yes,No,Yes,Yes,No,Yes,No,35.097165,-116.414557,Cape,6160,570666,Investor Sale,No,,Samantha Pierce,9.64
"4566 Bowman Square Suite 021 Figueroafort, PA 20153","4566 Bowman Square Suite 021 Figueroafort, PA 20153",Null, ,Bulk, ,,,4566 Bowman Square Suite 021,Figueroafort,PA,20153,Condo,Far,Far,1.87,384,No,Yes,No,City,Septic,1961,1381,4017,,6,2,,Colonial,10.45,12.02,Yes,3,1182,483376,154611,504977,2891,1372,1427,3133,82,40354,8880,,,,No,,No,No,No,Yes,Yes,No,36.58611,-104.355881,Pine,7646,128246,Downsizing,Yes,,Sophia Williams,3.73
"7756 Alyssa Flat Larryport, UT 86659","7756 Alyssa Flat Larryport, UT 86659",Cancelled,Closed,Broker, ,,Minimal Flood,7756 Alyssa Flat,Larryport,UT,86659,SFR,,Near,2.7,774,,No,Yes,,Septic,2009,2746,2505,,5,1,,Ranch,11.36,15.91,No,5,2493,143254,129269,275053,3324,2562,978,1316,8,56033,84703,,,,No,,Yes,,Yes,,No,,35.941622,-92.009892,Forge,2177,225389,,No,,Emily Patel,6.23
"05215 Smith Knoll Suite 862 West Ryan, CA 64550","05215 Smith Knoll Suite 862 West Ryan, CA 64550",Cancelled,Close,MLS,Dalas,,Minimal Flood,05215 Smith Knoll Suite 862,West Ryan,CA,64550,SFR,,,1.57,1007,,,Yes,,Septic,1993,1556,2208,Garage,3,2,Yes,Split,10.6,10.99,No,1,2315,135124,484336,352149,2127,3348,1197,1306,100,33153,11231,No,Yes,No,Yes,,,No,No,,,,41.581968,-85.651885,Crest,8277,414918,Downsizing,Yes,,Michael Chen,7.91
"20362 Kenneth Valley East Gary, KY 10496","20362 Kenneth Valley East Gary, KY 10496",Null, ,MLS,Dalas,,,20362 Kenneth Valley,East Gary,KY,10496,Condo,Far,,2.76,1932,Yes,Yes,,City,,1968,2307,5743,Garage,1,2,Yes,,6.85,16.59,No,5,3403,254799,336471,308536,1034,1897,1627,2436,438,10407,83901,,Yes,Yes,Yes,Yes,Yes,No,No,No,No,,34.115863,-112.035835,Cove,2342,285354,,,No,Priya Sharma,8.78
"22368 Forbes Cove Apt. 681 North Michelleview, ND 73109","22368 Forbes Cove Apt. 681 North Michelleview, ND 73109",New,Available,M L S,Atlanta,Yes,Minimal Flood,22368 Forbes Cove Apt. 681,North Michelleview,ND,73109,SFR,Near,Near,2.72,1485,No,Yes,,,Septic,2018,2746,7198,Driveway,3,4,No,,3.97,19.51,No,2,3111,208163,314773,560690,3477,3600,1196,1396,400,77522,19735,Yes,No,Yes,Yes,No,,,,,,No,39.991798,-87.656273,Junctions,8341,449054,,Yes,No,Samantha Pierce,7.33
"024 Katherine Locks South Nathanielport, PA 58454","024 Katherine Locks South Nathanielport, PA 58454",Offered,Closed,Auction.com,Chicgo,No,Minimal Flood,024 Katherine Locks,South Nathanielport,PA,58454,Single Family Home,,Far,1.8,1566,No,Yes,,City,Septic,1987,1899,9833,,1,2,Yes,Colonial,4.04,12.79,Yes,3,2409,239487,217986,348674,1769,2137,1284,3323,361,21329,86934,,,No,,No,Yes,Yes,No,,Yes,,38.736307,-96.79845,Ports,8437,354568,Downsizing,,No,Michael Chen,3.2
"5514 Mccann Route Suite 915 Smithmouth, LA 46319","5514 Mccann Route Suite 915 Smithmouth, LA 46319",Accepted Offer,Pending,Bulk,Florida,Yes,,5514 Mccann Route Suite 915,Smithmouth,LA,46319,Duplex,,Near,2.06,446,Yes,Yes,No,,City,1950,1970,3052,,6,2,,,9.5,8.16,,5,1242,357227,138821,267221,1238,3821,930,3451,69,98643,54901,No,Yes,Yes,No,Yes,,,Yes,,No,No,34.109506,-92.675786,Burgs,8734,506660,Downsizing,No,,David Thompson,4.68
"7977 Williams Dale Apt. 419 North Diane, GU 05240","7977 Williams Dale Apt. 419 North Diane, GU 05240",Reviewed,Close,Bulk, ,,,7977 Williams Dale Apt. 419,North Diane,GU,05240,Single Family Home,Far,Far,3.49,1125,No,Yes,No,Well,City,2010,2946,7312,Street,2,3,Yes,Ranch,7.1,6.1,No,1,2082,374048,241725,417744,1255,2328,1575,1966,387,14328,30918,No,,,No,Yes,No,No,Yes,,Yes,Yes,38.412574,-83.048439,Avenue,7753,327913,Downsizing,,No,Michael Chen,5.11
"736 Brett Route Apt. 752 Port Frankfurt, NM 07255","736 Brett Route Apt. 752 Port Frankfurt, NM 07255",New,Null,Broker,Chicgo,Yes,Minimal Flood,736 Brett Route Apt. 752,Port Frankfurt,NM,07255,Single Family Home,Far,Near,1.12,305,No,,No,Well,City,2016,2263,4290,Garage,1,2,Yes,Colonial,5.03,7.25,,5,1559,109432,467472,147667,2994,1935,842,1890,447,52556,71184,No,Yes,No,No,Yes,No,No,,Yes,Yes,No,35.528482,-86.219715,Crescent,2491,256898,,No,Yes,Samantha Pierce,3.49
"6708 Patricia Mall Suite 994 Port Rachelstad, VA 28403","6708 Patricia Mall Suite 994 Port Rachelstad, VA 28403",New,Kick,Opendoor,Atlanta,No,Flood Zone,6708 Patricia Mall Suite 994,Port Rachelstad,VA,28403,Condo,,Far,1.57,1117,Yes,No,,,City,1982,3265,8323,,3,4,,Ranch,3.14,7.22,No,2,1455,169541,99760,108552,3291,2621,1488,1595,132,93177,82762,Yes,,,Yes,No,No,No,Yes,,No,,35.885186,-83.444776,Meadows,9308,422087,,,Yes,Amit Kumar,7.07
"91593 Cameron Forks New Jamestown, MN 82571","91593 Cameron Forks New Jamestown, MN 82571",Reviewed,Available,Auction.com,Chicago,Yes,,91593 Cameron Forks,New Jamestown,MN,82571,Condo,Near,Near,2.33,1471,,No,No,Well,Septic,2015,2882,9267,Street,1,3,No,Split,6.31,6.96,Yes,4,1045,195179,234418,158584,2040,1361,1469,2623,379,54141,1092,Yes,Yes,No,Yes,,Yes,No,,No,,,37.382065,-74.802424,Trail,2488,310196,,,,David Thompson,9.34
"572 Craig Port New Angela, IA 47562","572 Craig Port New Angela, IA 47562",Offered,Cancelled,MLS,Chicago,,Flood Zone,572 Craig Port,New Angela,IA,47562,Duplex,,Near,3.19,1599,No,Yes,No,Well,,1978,2652,8099,Driveway,4,1,,Ranch,6.18,16.15,Yes,3,3362,97639,336061,299498,1655,2858,1355,3423,401,13346,98339,No,Yes,Yes,,,Yes,Yes,,No,No,,37.431545,-105.946032,Place,6234,195498,Investor Sale,No,No,Amit Kumar,7.23
"252 Marcus Junctions Suite 925 New Donald, AZ 96611","252 Marcus Junctions Suite 925 New Donald, AZ 96611",Cancelled, ,MLS,Florida,No,Flood Zone,252 Marcus Junctions Suite 925,New Donald,AZ,96611,Single Family Home,,Near,2.32,960,No,Yes,,Well,,1993,3267,7404,Garage,6,4,No,,5.77,10.42,Yes,1,1222,337638,397495,523885,944,1956,1954,2784,292,23559,44007,Yes,Yes,Yes,Yes,,,Yes,Yes,,Yes,Yes,33.048863,-89.947995,Bridge,5440,166152,Job Transfer,,No,Jessica Lin,6.59
"474 Brittany Run Thomasfort, IA 72396","474 Brittany Run Thomasfort, IA 72396",Closed,Null,M L S, ,,Minimal Flood,474 Brittany Run,Thomasfort,IA,72396,SFR,,Near,3.18,1506,,,,City,,1957,1013,2727,Street,2,3,No,,7.78,15.69,Yes,3,3102,363900,326121,507104,1803,2690,1283,3184,211,45855,54952,,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,39.366675,-81.704869,Loaf,8055,349507,Investor Sale,No,Yes,Sophia Williams,5.74
"253 Miller Trail Jordanside, WV 57098","253 Miller Trail Jordanside, WV 57098",Reviewed,Available,Auction.com,Chicgo,,,253 Miller Trail,Jordanside,WV,57098,Townhouse,Near,Far,1.64,613,,No,No,City,City,1972,2234,5258,,6,4,,,7.63,15.72,Yes,1,3253,309406,492306,347303,2485,2263,1105,1756,417,77452,13085,Yes,Yes,No,,,No,,,,Yes,No,37.396739,-102.398564,Skyway,4933,568956,Job Transfer,,Yes,Sophia Williams,7.7
"102 Myers Corners Danielfort, SC 69214","102 Myers Corners Danielfort, SC 69214",Closed,Pending,Bulk,Atlanta,,Flood Zone,102 Myers Corners,Danielfort,SC,69214,Duplex,Far,Near,1.02,1076,Yes,No,,,,1983,1128,9158,Street,4,3,No,Colonial,5.25,8.85,No,4,858,142494,449329,195848,3204,1233,868,1575,134,4071,37586,No,No,Yes,Yes,Yes,No,Yes,No,No,,Yes,41.945093,-111.422706,Plains,3670,264185,Job Transfer,Yes,Yes,David Thompson,4.51
"06168 Whitaker Rapids Apt. 700 Port Josephside, FM 86517","06168 Whitaker Rapids Apt. 700 Port Josephside, FM 86517",Cancelled,Available,M L S, ,No,Minimal Flood,06168 Whitaker Rapids Apt. 700,Port Josephside,FM,86517,SFR,,Near,1.86,246,Yes,Yes,,City,City,2013,1688,1046,Street,1,1,No,Split,10.89,10.97,Yes,4,2025,249607,168225,516783,3032,1590,1681,3085,399,37456,87905,,Yes,No,No,Yes,,,,Yes,,Yes,38.894316,-95.174898,Freeway,3993,494636,,,Yes,Priya Sharma,5.76
"80977 Macdonald Station Apt. 158 East Adamville, MH 01334","80977 Macdonald Station Apt. 158 East Adamville, MH 01334", ,Close,Bulk,Chicago,,,80977 Macdonald Station Apt. 158,East Adamville,MH,01334,SFR,Far,,2.05,1115,,,No,Well,,1950,822,1892,Garage,4,1,,Colonial,4.2,10.27,Yes,1,2168,363305,95708,158533,3047,3056,1283,1903,224,3481,68194,Yes,Yes,Yes,Yes,,Yes,No,Yes,Yes,,Yes,34.743929,-85.06389,Gateway,9504,274290,,No,,Emily Patel,5.56
"56105 Anthony Ports South James, MP 05035","56105 Anthony Ports South James, MP 05035",New,Kick,MLS,Tampa,,Flood Zone,56105 Anthony Ports,South James,MP,05035,Townhouse,Near,Far,2.53,692,,Yes,Yes,Well,City,2011,620,2504,Garage,5,1,Yes,Ranch,8.06,11.45,No,5,1539,345984,334977,325633,3211,3507,1332,2401,365,42345,59790,No,Yes,No,Yes,,,,No,Yes,,Yes,35.082279,-78.271645,Terrace,7238,312301,,,,Samantha Pierce,7.19
"11884 Tyrone Greens Suite 693 West Justinhaven, AZ 82366","11884 Tyrone Greens Suite 693 West Justinhaven, AZ 82366",Reviewed,Always Kick,Auction.com,Florida,,Minimal Flood,11884 Tyrone Greens Suite 693,West Justinhaven,AZ,82366,Duplex,Far,Far,1.54,1670,,,,City,,1960,1149,1505,Driveway,6,3,Yes,Ranch,9.6,9.72,,2,3208,250462,491063,231191,1183,1034,1869,2997,160,94925,71272,No,Yes,,No,,,Yes,No,No,No,No,36.269623,-96.814207,Rapid,5756,350810,Downsizing,Yes,Yes,Emily Patel,5.25
"778 Murillo Expressway Apt. 006 South Melissafort, KS 23679","778 Murillo Expressway Apt. 006 South Melissafort, KS 23679",Reviewed,Kick,Opendoor,Dallas,Yes,Flood Zone,778 Murillo Expressway Apt. 006,South Melissafort,KS,23679,Single Family Home,,Near,1.65,564,Yes,Yes,Yes,,,2021,1084,3823,,1,2,No,,5.75,7.59,No,2,1513,229971,497603,359533,1423,2648,1049,3174,313,86407,15692,Yes,Yes,,Yes,,No,Yes,,,,,39.459856,-111.094349,Prairie,2526,477005,,No,Yes,Michael Chen,8.9
"779 Jacqueline Centers Apt. 822 Averyhaven, NC 49529","779 Jacqueline Centers Apt. 822 Averyhaven, NC 49529",Null,Always Kick,Bulk, ,No,,779 Jacqueline Centers Apt. 822,Averyhaven,NC,49529,Single Family Home,,,3.34,1539,No,Yes,Yes,,City,1993,628,8121,Garage,2,4,Yes,Colonial,7.04,7.01,Yes,2,800,124979,353961,522800,3178,1234,713,2437,496,77538,11973,,Yes,Yes,,,No,Yes,No,Yes,No,,36.478315,-73.495811,Station,5826,246305,Downsizing,,,Michael Chen,6.17
"53245 Elizabeth Mall Apt. 577 Garciaborough, FM 96611","53245 Elizabeth Mall Apt. 577 Garciaborough, FM 96611",Accepted Offer,Pend,M L S,Chicago,No,,53245 Elizabeth Mall Apt. 577,Garciaborough,FM,96611,Duplex,,Near,2.38,251,Yes,,Yes,,,2012,3247,9480,,6,2,,Ranch,6.67,6.38,No,5,1278,291735,217765,443390,1758,2672,1472,3201,275,55735,87755,No,,Yes,Yes,Yes,Yes,No,,Yes,Yes,No,35.70407,-116.564952,Oval,3808,374737,Downsizing,,Yes,Emily Patel,5.44
"5790 Williams Isle Suite 095 Andersonfurt, AL 85086","5790 Williams Isle Suite 095 Andersonfurt, AL 85086",Accepted Offer,Close,Opendoor,Dalas,,Flood Zone,5790 Williams Isle Suite 095,Andersonfurt,AL,85086,Duplex,Near,Near,1.45,76,,,Yes,City,City,1952,3208,7731,Street,4,4,Yes,Colonial,6.1,18.05,Yes,2,3319,99692,235818,325597,1951,2918,1053,1627,216,35511,35044,No,Yes,,No,No,,Yes,,Yes,No,,39.928673,-110.104181,Lake,6801,568687,Investor Sale,Yes,,Jason Miller,8.57
"01088 Hawkins Mountain Suite 601 Nathanielview, TX 31085","01088 Hawkins Mountain Suite 601 Nathanielview, TX 31085",Offered, ,Internal,Florida,No,,01088 Hawkins Mountain Suite 601,Nathanielview,TX,31085,SFR,Far,Near,1.85,882,Yes,,,City,,1964,3061,4775,Driveway,2,3,,Split,3.15,13.78,,5,2110,231422,284785,300261,1358,3971,1702,2699,54,78314,17649,Yes,No,Yes,No,No,,,No,Yes,Yes,,40.787492,-116.592052,Turnpike,8189,180366,Investor Sale,Yes,No,Samantha Pierce,8.45
"76669 Bethany Junction Apt. 079 West Normanland, NE 05401","76669 Bethany Junction Apt. 079 West Normanland, NE 05401", , ,Auction.com,Florida,,Minimal Flood,76669 Bethany Junction Apt. 079,West Normanland,NE,05401,Duplex,Far,Near,3.08,1399,No,No,No,,Septic,1956,3445,8522,,1,1,No,,6.72,19.54,No,3,2894,258172,525441,299984,2981,1659,1320,2031,75,81164,52222,No,No,No,,,No,No,No,Yes,,Yes,38.238016,-117.947345,Crest,4349,465330,Investor Sale,Yes,No,Jason Miller,4.75
"011 Ryan Mountain Suite 368 Underwoodshire, KY 74650","011 Ryan Mountain Suite 368 Underwoodshire, KY 74650", ,Always Kick,M L S,Dallas,,Flood Zone,011 Ryan Mountain Suite 368,Underwoodshire,KY,74650,SFR,,,2.93,549,Yes,,,City,,2009,777,4479,Street,4,4,,Colonial,8.27,12.93,No,1,2230,497289,416638,405538,2562,1583,1404,1102,121,7929,17303,No,No,Yes,,Yes,Yes,Yes,No,No,No,No,39.457647,-90.606532,Valleys,8647,308967,Job Transfer,No,,Emily Patel,5.74
"94817 Monica Tunnel Apt. 971 Rodriguezton, AS 30971","94817 Monica Tunnel Apt. 971 Rodriguezton, AS 30971",Reviewed,Close,Opendoor,Chicago,No,Flood Zone,94817 Monica Tunnel Apt. 971,Rodriguezton,AS,30971,Townhouse,,Far,2.05,798,Yes,No,Yes,City,,1988,1003,5423,,6,4,,,3.6,14.96,,3,2907,246425,508712,428701,1891,1933,1716,2330,382,72986,42690,No,Yes,Yes,Yes,No,Yes,No,No,,No,Yes,35.889126,-112.166446,Brooks,8825,123546,,Yes,Yes,Jason Miller,6.57
"155 Christopher Stream Suite 638 Bennettfort, MT 81673","155 Christopher Stream Suite 638 Bennettfort, MT 81673",Cancelled,Kick,Auction.com,Chicgo,Yes,Minimal Flood,155 Christopher Stream Suite 638,Bennettfort,MT,81673,SFR,Far,Far,2.45,1733,,Yes,Yes,,City,1964,1829,4016,,6,3,Yes,Colonial,3.75,5.03,Yes,2,978,494817,494353,203873,958,1508,884,1269,87,88348,62632,No,,Yes,Yes,,No,,No,Yes,Yes,,39.884136,-80.444677,Greens,4933,153727,Investor Sale,No,,Emily Patel,4.6
"73633 Ware Brook New Jenniferchester, GU 78290","73633 Ware Brook New Jenniferchester, GU 78290",Offered,Cancelled,M L S, ,No,,73633 Ware Brook,New Jenniferchester,GU,78290,Condo,Far,,2.91,473,No,Yes,Yes,,Septic,1952,2081,9268,Driveway,3,3,Yes,Colonial,4.9,5.2,,1,1658,492632,104823,96653,1567,1537,1716,1840,420,32167,40088,No,,No,,,No,Yes,,No,No,No,35.441134,-112.381796,Avenue,9933,152676,Downsizing,,No,Samantha Pierce,6.46
"457 Nicole Landing Suite 170 Port Joybury, NM 45598","457 Nicole Landing Suite 170 Port Joybury, NM 45598",Accepted Offer,Cancelled,Bulk,Atlanta,No,,457 Nicole Landing Suite 170,Port Joybury,NM,45598,SFR,Near,Far,1.83,1339,No,Yes,,,,2023,2441,3898,Driveway,2,3,,Split,9.02,14.4,Yes,4,814,368348,302258,291537,2755,1072,1816,1141,373,24914,31320,Yes,Yes,No,No,,,No,,Yes,No,,35.114591,-103.191221,Alley,6336,503620,Investor Sale,No,No,Emily Patel,8.41
"6968 Eric Creek Trevinoshire, MS 78266","6968 Eric Creek Trevinoshire, MS 78266",Cancelled,Available,MLS,Dalas,No,Flood Zone,6968 Eric Creek,Trevinoshire,MS,78266,Single Family Home,,Far,1.33,183,Yes,Yes,,Well,City,1981,2332,5245,Street,5,3,,Split,7.58,8.31,No,5,3220,301493,378849,510498,1531,1040,1583,1596,451,58080,21707,Yes,No,Yes,Yes,Yes,,,Yes,No,No,Yes,38.598677,-108.495379,Freeway,9207,163771,,,Yes,Amit Kumar,8.11
"65034 Davila Corners Apt. 368 Deborahville, SC 12859","65034 Davila Corners Apt. 368 Deborahville, SC 12859",Offered,Available,M L S,Atlanta,No,,65034 Davila Corners Apt. 368,Deborahville,SC,12859,Single Family Home,Near,Far,2.11,366,No,,No,Well,City,1973,1539,9006,Garage,1,4,No,,4.5,18.53,Yes,5,1751,186317,306557,372436,1174,1302,1682,1790,118,12827,67747,Yes,Yes,Yes,No,Yes,,,Yes,No,,Yes,37.170452,-106.639857,Villages,2383,581130,Job Transfer,No,Yes,Priya Sharma,9.18
"01077 Young Landing Apt. 626 Vanessastad, CA 30243","01077 Young Landing Apt. 626 Vanessastad, CA 30243",Cancelled,Available,Auction.com,Dalas,No,Flood Zone,01077 Young Landing Apt. 626,Vanessastad,CA,30243,Condo,Far,Near,2.49,678,Yes,,No,,City,1995,2024,1164,Street,1,1,,,7.78,19.02,Yes,5,1829,283743,108662,354589,1511,3051,1937,2113,176,89246,94889,,Yes,Yes,No,No,No,,Yes,,No,No,40.086728,-85.276225,Walks,1872,160913,Downsizing,,Yes,Jason Miller,6.14
"0624 Jeremy Road Apt. 622 Lake Johnview, VT 89954","0624 Jeremy Road Apt. 622 Lake Johnview, VT 89954",Reviewed,Always Kick,Auction.com,Dalas,Yes,Minimal Flood,0624 Jeremy Road Apt. 622,Lake Johnview,VT,89954,Condo,Near,,3.29,652,,Yes,Yes,,,1977,1945,9100,,5,1,No,,5.42,11.37,No,3,2345,100121,117931,597677,1045,1431,1578,1706,170,65681,77056,No,No,Yes,Yes,Yes,,,No,Yes,Yes,,33.098201,-90.639299,Track,7600,328089,Job Transfer,No,,Jason Miller,4.51
"8909 Vargas Alley Apt. 038 Kimberlychester, GA 49412","8909 Vargas Alley Apt. 038 Kimberlychester, GA 49412",Offered,Available,Bulk,Tampa,Yes,Minimal Flood,8909 Vargas Alley Apt. 038,Kimberlychester,GA,49412,Condo,Far,Far,2.7,1681,Yes,No,No,City,Septic,1965,1825,9870,,4,2,Yes,,8.58,7.33,,2,1857,241496,547738,530349,2286,3250,1782,2158,228,27952,80235,No,No,,No,Yes,No,No,No,,,Yes,34.575805,-107.125259,Fall,1849,200120,Investor Sale,,Yes,Amit Kumar,6.76
"006 Weiss Ramp Suite 232 Simonview, VT 83927","006 Weiss Ramp Suite 232 Simonview, VT 83927",Closed,Pending,MLS,Dallas,,,006 Weiss Ramp Suite 232,Simonview,VT,83927,Townhouse,Near,Near,1.19,126,Yes,No,,,,1990,788,5638,Street,3,1,Yes,Split,9.81,13.34,Yes,4,3278,287947,512354,488480,1200,2929,1701,1955,495,22766,23483,No,No,No,,No,,Yes,No,,Yes,No,35.757808,-86.977996,Rest,2508,545752,,,No,Sophia Williams,6.36
"358 Griffin Circle Camposside, GA 00884","358 Griffin Circle Camposside, GA 00884",Null, ,Broker,Dalas,,,358 Griffin Circle,Camposside,GA,00884,Single Family Home,Far,Far,3.4,55,,,No,Well,City,1980,624,2595,Driveway,1,4,Yes,Ranch,7.44,11.67,Yes,5,2990,392669,305747,289948,2794,1889,923,2217,236,7774,27601,Yes,,No,,No,Yes,Yes,No,No,,,41.78865,-108.313324,Hollow,2061,468706,Downsizing,Yes,Yes,Jessica Lin,7.82
"202 Brianna Via Suite 069 Bradleyview, MT 92214","202 Brianna Via Suite 069 Bradleyview, MT 92214",New, ,Bulk,Dalas,No,Flood Zone,202 Brianna Via Suite 069,Bradleyview,MT,92214,Duplex,Near,Near,3.2,1849,,No,No,City,Septic,1974,1901,3387,Driveway,2,2,,Ranch,11.03,9.4,,4,2080,435675,127047,97034,1166,1963,783,1738,82,60803,36768,,No,Yes,,No,No,,,,Yes,No,41.514616,-78.784286,Mall,9997,251579,Investor Sale,Yes,Yes,Priya Sharma,5.69
"20738 Lee Streets Justinchester, KS 26416","20738 Lee Streets Justinchester, KS 26416",Closed,Kick,M L S,Florida,,,20738 Lee Streets,Justinchester,KS,26416,Townhouse,Near,Far,3.15,507,No,,Yes,City,Septic,2022,907,4088,Driveway,5,4,Yes,Colonial,7.3,19.81,Yes,4,1323,291827,201080,451999,2863,1496,1381,2918,189,31071,99850,No,No,No,No,No,Yes,Yes,,Yes,No,,37.405091,-74.834942,Harbors,1814,186106,,No,No,Jessica Lin,9.13
"892 Thomas Mountain Apt. 470 Karenmouth, PW 37308","892 Thomas Mountain Apt. 470 Karenmouth, PW 37308",Closed,Closed,MLS,Dalas,Yes,Flood Zone,892 Thomas Mountain Apt. 470,Karenmouth,PW,37308,SFR,,,1.04,744,,No,No,,City,2014,2288,6570,Garage,3,4,,Ranch,6.76,19.51,,2,1938,199484,283479,90220,3273,2648,1234,3453,236,62015,78247,No,,,,Yes,,No,,No,No,No,39.17894,-81.795612,Key,4097,482208,Downsizing,No,No,Jason Miller,9.13
"563 Christopher Fields Suite 206 Port Jefferychester, NY 07406","563 Christopher Fields Suite 206 Port Jefferychester, NY 07406",Offered, ,M L S,Dalas,No,Flood Zone,563 Christopher Fields Suite 206,Port Jefferychester,NY,07406,Townhouse,,,1.53,906,Yes,No,Yes,Well,Septic,1970,1004,2238,Driveway,5,4,,Ranch,10.36,13.73,Yes,5,1557,485676,156067,502153,3321,1830,854,3232,428,47034,33837,,,,No,,,No,No,,No,Yes,39.155306,-106.81486,Corners,8185,134548,Downsizing,No,,Jason Miller,4.72
